season,odds_band,n_bets,n_matches,wins,total_profit,mean_odds,median_odds,mean_raw_implied_probability,mean_predicted_probability,roi,win_rate,calibration_gap,sparse,roi_ci_low,roi_ci_high,win_rate_ci_low,win_rate_ci_high,predicted_ci_low,predicted_ci_high,gap_ci_low,gap_ci_high
2022_23,"[10.00, inf)",133,121,6,-56.0,13.345864661654135,12.0,0.07929137182540578,0.07510630086632558,-0.42105263157894735,0.045112781954887216,-0.029993518911438366,True,-0.8230882352941176,0.10956872622596853,0.014703198797767282,0.08404544916558167,0.0725972715325901,0.07754168062044647,-0.060467231089663696,0.008860792118446013
2023_24,"[1.00, 1.50)",329,329,253,1.7200000000000009,1.3138905775075986,1.33,0.7660853549903452,0.7257811502948243,0.005227963525835869,0.7689969604863222,0.043215810191497894,False,-0.05725724540812262,0.06494636936339498,0.720125786163522,0.8139617940199335,0.719196170313583,0.7325327323071292,-0.0038611578775924267,0.08814794566475116
2023_24,"[1.50, 2.00)",678,678,398,4.050000000000001,1.7262241887905607,1.7149999999999999,0.5831243817978197,0.5533455391579994,0.005973451327433629,0.5870206489675516,0.03367510980955213,False,-0.05941621038164429,0.06941358872608872,0.5487757091520759,0.6246418333219576,0.550009052442909,0.5567779689046091,-0.0038862316949217187,0.07051604919655698
2023_24,"[2.00, 3.00)",1017,745,401,-59.13000000000001,2.433844641101278,2.4,0.41639854740836457,0.3949528918760533,-0.05814159292035399,0.3942969518190757,-0.0006559400569776108,False,-0.11599606295090989,-0.0008910110110111019,0.3697998466872866,0.419325248355051,0.39199436144835503,0.3981837899970778,-0.025753758788111692,0.024323387411258814
2023_24,"[3.00, 5.00)",2346,1476,599,-170.84,3.7098721227621487,3.6,0.27391811996931337,0.25986246796561197,-0.07282182438192669,0.2553282182438193,-0.004534249721792671,False,-0.12933973070115612,-0.01757593090672437,0.240050921450176,0.2702595561572043,0.2583746399117526,0.26135135783511265,-0.019717541372461917,0.010417553426965901
2023_24,"[5.00, 10.00)",755,599,96,-177.25,6.331788079470199,6.0,0.16313540406761085,0.15471637453166506,-0.2347682119205298,0.1271523178807947,-0.02756405665087036,False,-0.36965590558630146,-0.08734531918957206,0.10475427775567052,0.15078339796670795,0.15312334570842545,0.15638043769425136,-0.0499796143859432,-0.004307730761155422
2023_24,"[10.00, inf)",131,115,5,-66.0,13.183206106870228,12.0,0.07991890754008266,0.07583528509313096,-0.5038167938931297,0.03816793893129771,-0.03766734616183325,True,-0.9112903225806451,-0.016116431451612973,0.00819505531120885,0.06925781249999986,0.07334564434006907,0.07838299499244845,-0.06764151636729654,-0.0062137800718770975
2024_25,"[1.00, 1.50)",386,386,293,-1.2099999999999982,1.324818652849741,1.33,0.7598625300710458,0.7187845836232432,-0.003134715025906731,0.7590673575129534,0.040282773889710244,False,-0.06183752966345481,0.054290469445568486,0.7158435877519317,0.8025641025641026,0.7125937702281129,0.7246447985107706,-0.0036872739320200133,0.08293766563400436
2024_25,"[1.50, 2.00)",647,647,357,-28.61,1.7376506955177744,1.73,0.5791147851420799,0.5482648763448911,-0.044219474497681606,0.5517774343122102,0.0035125579673190854,False,-0.1095405346957533,0.023445214296531847,0.5148922233652672,0.589443056369987,0.5449581359718413,0.5517524053785906,-0.033523851286510656,0.042226486182405654
2024_25,"[2.00, 3.00)",989,722,389,-53.42,2.445500505561173,2.4,0.4144529170139261,0.3926156394396296,-0.05401415571284125,0.39332659251769464,0.0007109530780650131,False,-0.11159946614164303,0.006776142624369837,0.36857865764161446,0.41925937112467926,0.3894068807237983,0.3956867590089296,-0.02386146300738341,0.026294320851977103
2024_25,"[3.00, 5.00)",2290,1468,597,-118.63999999999999,3.691908296943231,3.6,0.27541006020517206,0.26083193413389094,-0.051807860262008724,0.2606986899563319,-0.00013324417755905538,False,-0.11018964387377272,0.003667073264547076,0.2447464923873151,0.2753752151640497,0.25933937063322665,0.26228626280927614,-0.015595846059304133,0.01467699614981279
2024_25,"[5.00, 10.00)",810,657,108,-169.25,6.417283950617284,6.0,0.1618497679584985,0.1531709148413143,-0.20895061728395062,0.13333333333333333,-0.019837581507980956,False,-0.34644136784701607,-0.07101794345408251,0.11155497141690486,0.15676729017133914,0.15146207123865074,0.15490639732010697,-0.041556291954958996,0.003045090430039074
2024_25,"[10.00, inf)",134,125,8,-29.0,13.238805970149254,12.0,0.07999336113058525,0.07575625471951565,-0.21641791044776118,0.05970149253731343,-0.01605476218220222,True,-0.7232589285714286,0.36062152133580666,0.022222222222222223,0.10236725217040175,0.0732014157998689,0.07827899354543863,-0.053861778634104206,0.026855103217939612
2025_26,"[1.00, 1.50)",309,309,232,-3.28,1.32915857605178,1.33,0.7573744098036513,0.7165186565441313,-0.010614886731391585,0.7508090614886731,0.03429040494454183,False,-0.07641752408949869,0.05012722668195722,0.7021225450081833,0.7966706349206348,0.7094551336182697,0.7230848500467125,-0.014333933076073158,0.07924334845382873
2025_26,"[1.50, 2.00)",644,644,348,-46.58,1.7375,1.73,0.5793995214658165,0.5482690069459575,-0.07232919254658385,0.5403726708074534,-0.007896336138504045,False,-0.141321073144426,-0.007376792229816522,0.5,0.5783888240473412,0.54490661634106,0.5517100140499924,-0.04754018107809737,0.029427364873800793
2025_26,"[2.00, 3.00)",1122,800,451,-38.03000000000001,2.4579857397504457,2.45,0.4126182118159361,0.39067204169256786,-0.03389483065953655,0.4019607843137255,0.011288742621157644,False,-0.0895601009237085,0.02134863831329714,0.3779849952408204,0.4258472169741987,0.38773035000941025,0.3936803871076307,-0.012205830860739215,0.035087421559637275
2025_26,"[3.00, 5.00)",2406,1515,621,-163.78,3.6856566916043225,3.6,0.2758793755999141,0.2612084323667884,-0.06807148794679967,0.2581047381546135,-0.0031036942121749345,False,-0.12364186724249238,-0.013970541714016597,0.24316050973730316,0.2730637628589299,0.2596613627493049,0.26266720356488865,-0.018003841566961887,0.011787359677284856
2025_26,"[5.00, 10.00)",666,547,97,-70.5,6.381381381381382,6.0,0.162201438629102,0.15356332827183866,-0.10585585585585586,0.14564564564564564,-0.007917682626193023,False,-0.2570106764548136,0.06540756630265199,0.12121212121212122,0.17300770909252008,0.15188345555725577,0.15524396731331286,-0.03248665268685729,0.019865231342727052
2025_26,"[10.00, inf)",109,99,3,-70.0,12.857798165137615,12.0,0.08181781275725043,0.0773926511198909,-0.6422018348623854,0.027522935779816515,-0.04986971534007438,True,-1.0,-0.1941747572815534,0.0,0.06035135841170321,0.07499153701359171,0.08016058381000332,-0.07696377042311273,-0.016385504514709586
